competition_id,predicted_class
287771,1
243860,0
279337,0
272919,0
308199,0
291036,0
242297,0
285679,0
248473,0
435230,0
371526,0
336455,0
396886,0
261462,0
230516,0
393486,0
263274,0
213155,0
294303,0
212967,0
297718,0
222241,0
276429,0
295525,0
268251,0
230075,0
272067,0
310009,0
235964,0
358015,0
374424,0
314260,0
357276,0
211311,0
225338,0
412649,0
429556,0
310472,0
300419,0
224429,0
404661,0
335329,0
362070,0
417976,0
377878,0
210613,0
288160,0
209301,0
271130,0
418292,0
322292,0
364582,0
434015,0
304758,0
360061,0
301797,0
364326,0
234325,0
343599,0
368933,0
277142,0
207252,0
260618,0
269199,0
214122,0
366190,0
270695,0
260073,0
259685,0
316729,0
416561,0
353926,0
203902,0
349536,0
267682,0
404120,1
332696,0
217713,0
420282,0
318846,0
223699,0
313542,0
364882,0
280542,0
263234,0
388733,0
412035,0
295734,0
308219,0
231417,0
349893,0
327279,0
377744,0
391686,0
390529,0
302900,0
387249,0
210228,0
332362,0
343235,0
217050,0
383101,0
288456,0
253615,0
213137,0
351123,0
398171,0
341175,0
391478,0
273675,0
336048,0
370803,0
294537,0
416040,0
318184,0
224592,0
400218,0
391318,0
244586,0
232387,0
432718,0
297878,0
342686,0
318232,0
333020,0
375564,0
210172,0
346815,0
407921,0
259905,0
217647,0
201708,0
408749,0
205931,0
377053,0
345625,0
347142,0
370378,0
315831,0
237076,0
280253,0
395305,1
365144,0
207719,0
265776,0
218839,0
259035,0
301066,0
204768,0
409941,0
347442,0
244076,0
336894,0
270514,0
306911,0
235579,0
410426,1
301330,0
321984,0
200308,0
284788,0
298818,0
258521,0
315060,0
282574,0
300286,0
328463,0
251549,0
342220,0
330788,0
353140,0
219962,0
413161,0
413805,0
207678,0
315888,0
390573,0
406175,0
381459,0
355750,0
291421,0
284504,0
285118,0
362057,0
359371,0
242033,0
319292,0
269945,0
408715,0
415551,0
286442,0
370635,0
332615,0
399241,0
276460,0
305563,0
254199,0
240428,0
356397,0
202505,0
335981,0
261372,0
241652,0
201417,0
210614,0
231020,0
213689,0
400065,0
225435,0
313729,0
252418,0
367313,0
373976,0
271816,0
370384,0
229850,0
224357,0
400111,0
262701,0
429573,0
386552,1
262849,0
424447,0
396905,0
274567,0
329921,0
422516,0
326086,0
322923,0
220202,0
272490,0
421007,0
406802,0
433336,0
387817,0
229876,0
433603,0
231023,0
301840,0
286633,0
331554,0
320044,0
359158,0
393758,0
352977,0
380672,0
393869,0
216659,0
410840,0
220614,0
387829,0
403574,0
434846,0
259934,0
259072,0
257926,0
310985,0
318039,0
338215,0
345971,1
359910,0
324089,0
399778,0
422982,0
201117,0
250737,0
329911,0
319709,0
393328,0
387891,0
270527,0
345576,0
355148,0
256245,0
306455,0
330715,0
326858,0
265281,0
212617,0
205744,0
246622,0
364025,0
304796,0
351655,0
269763,0
247454,0
251395,0
411457,0
352146,0
379663,0
396835,0
392823,0
301258,0
311867,0
431282,0
432480,0
207096,0
249426,0
365813,0
330938,0
432481,0
330471,0
424801,0
266015,0
203732,0
216262,0
352382,0
230305,0
396456,0
373088,0
421807,0
288972,0
430815,0
243001,0
355980,0
260753,0
230206,0
372910,0
429026,0
422050,0
200789,0
284857,0
354682,0
395035,0
387768,0
279837,0
310172,0
425227,0
278522,0
255907,0
285014,0
276508,0
292661,0
323596,0
384852,0
407103,0
381303,0
332498,0
202317,0
391452,0
252168,0
299425,0
358227,0
273418,0
394958,0
256557,0
280414,0
248301,0
376754,0
235679,0
262247,0
212492,0
218531,0
230330,0
400630,1
298779,0
352350,0
375013,0
373374,0
422797,0
217055,0
364808,0
387590,0
327321,0
292639,0
348177,0
365718,0
322032,0
340359,0
282339,0
384866,0
278639,0
331330,0
321309,0
